db,date,year,month,latitude,longitude,globaleventid,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,dateadded,sourceurl,gdelt_lat,gdelt_lon,data_id,iso,event_id_cnty,event_id_no_cnty,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3,lat_upd,lon_upd,keep,lat_rev,lon_rev,typeACLED,typeGDELT,typeGDELT2
ACLED,29-Nov-17,2017,11,-11.3458,40.3522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.3458,40.3522,1632104,508,MZM790,790,1,Violence against civilians,,ASWJ-Mozambique: Ahlu Sunna Wal Jamaa (Mozambique faction),,3,Civilians (Mozambique),,7,37,Eastern Africa,Mozambique,Cabo Delgado,Mocimboa da Praia,Mocimboa Da Praia,Mocimboa da Praia,2,Club of Mozambique; Agence France Presse; Agencia de Informacao de Mocambique,National,"Armed gunmen associated with an Islamist fundamentalist group attacked civilians at Mitumbate/Mutumbati and Makulo/Megulo villages in Mocimboa da Praia on 29 and 30 November, killing two, wounding another two, burning 27 houses and destroying a church. The fundamentalist group is composed of Mozambicans, but also Tanzanians and Somalis and is suspected to be the same as the 5-6 October attacks in Mocimboa.",1,1528732355,MOZ,,,Verified event,,,Armed group,,
ACLED,12-Mar-18,2018,3,-11.3458,40.3522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.3458,40.3522,1632110,508,MZM810,810,2,Battle,,Police Forces of Mozambique (1990-),,1,ASWJ-Mozambique: Ahlu Sunna Wal Jamaa (Mozambique faction),,3,13,Eastern Africa,Mozambique,Cabo Delgado,Mocimboa da Praia,Mocimboa Da Praia,Mocimboa da Praia,1,O Pais,National,"On the week of 12 March, 2 rebels were killed by the police forces in Mocimboa da Praia.",2,1528732355,MOZ,,,Verified event,,,Military forces,,
ACLED,13-Jan-18,2018,1,-11.1642,40.4639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.1642,40.463902,1632107,508,MZM797,797,1,Strategic development,,ASWJ-Mozambique: Ahlu Sunna Wal Jamaa (Mozambique faction),,3,,,0,30,Eastern Africa,Mozambique,Cabo Delgado,Quissenge,Quissenge,Quissenge,1,Agencia de Informacao de Mocambique,National,"Property destruction: following the attack in Olumbi, the same militia attacked the locality of Quissenge, burning 32 houses and 3 informal shops.",0,1528732355,MOZ,,,Verified event,,,Armed group,,
ACLED,10-Oct-17,2017,10,-11.3458,40.3522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.3458,40.3522,1632101,508,MZM773,773,1,Strategic development,,Police Forces of Mozambique (1990-),,1,ASWJ-Mozambique: Ahlu Sunna Wal Jamaa (Mozambique faction),,3,13,Eastern Africa,Mozambique,Cabo Delgado,Mocimboa da Praia,Mocimboa Da Praia,Mocimboa da Praia,1,Agence France Presse; Agencia de Informacao de Mocambique,National,"Arrests: Police forces in Mozambique arrest 52 people after the attacks in the last week in Mocimboa da Praia. Authorities have dismissed links of linkage to Somalia's Al-Shabab or Nigeria's Boko Haram. Another 75 people were arrested a month later, on 1 November.",0,1528732355,MOZ,,,Verified event,,,Military forces,,
ACLED,21-Oct-17,2017,10,-11.3458,40.3522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.3458,40.3522,1632102,508,MZM778,778,1,Battle,,Police Forces of Mozambique (1990-),,1,ASWJ-Mozambique: Ahlu Sunna Wal Jamaa (Mozambique faction),,3,13,Eastern Africa,Mozambique,Cabo Delgado,Mocimboa da Praia,Mocimboa Da Praia,Mocimboa da Praia,2,Institute for Security Studies,Other,"An armed Islamist group that locals refer to as 'Al Shabaab' clashed with government forces in the fishing village of Maluku, some 30 km from Mocimboa da Praia on 21 October. The attacks prompted the villagers to flee.",0,1528732355,MOZ,,,Verified event,,,Military forces,,
ACLED,22-Oct-17,2017,10,-11.3458,40.3522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.3458,40.3522,1632103,508,MZM780,780,2,Battle,,Police Forces of Mozambique (1990-),,1,ASWJ-Mozambique: Ahlu Sunna Wal Jamaa (Mozambique faction),,3,13,Eastern Africa,Mozambique,Cabo Delgado,Mocimboa da Praia,Mocimboa Da Praia,Mocimboa da Praia,2,Voa Portugues,National,Clashes reported in the village of Columbe on 22 October. Armed men attacked a building in Mocimboa da Praia. They are suspected of being the same ones that had already attacked the locality before who are referred to as 'Al Shabaab'.,0,1528732355,MOZ,,,Verified event,,,Military forces,,
ACLED,08-Oct-17,2017,10,-11.3458,40.3522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.3458,40.3522,1632100,508,MZM772,772,1,Battle,,Police Forces of Mozambique (1990-),,1,ASWJ-Mozambique: Ahlu Sunna Wal Jamaa (Mozambique faction),,3,13,Eastern Africa,Mozambique,Cabo Delgado,Mocimboa da Praia,Mocimboa Da Praia,Mocimboa da Praia,1,Agencia de Informacao de Mocambique,National,The Mozambican police regains control of the territory after the attack in Mocimboa da Praia.,0,1528732355,MOZ,,,Verified event,,,Military forces,,
ACLED,22-Oct-17,2017,10,-10.7667,40.4833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.7667,40.483299,1378741,508,MZM781,781,1,Strategic development,,Unidentified Armed Group (Mozambique),,3,,,0,30,Eastern Africa,Mozambique,Cabo Delgado,Palma,Ulumbi,Ulumbi,1,Mediafax,Other,"Property destruction: Armed men, believed to be Islamic militants, attacked Ulumbi in Palma. The attack targeted a building. The incident followed another clash that had taken place in Palma and during which 11 people were captured and handed to the police. The armed men are suspected of being affiliated with the people who perpetrated the attacks in Mocimboa da Praia.",0,1524053841,MOZ,,,Verified event,,,Armed group,,
ACLED,15-Mar-18,2018,3,-11.3622,40.1047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.3622,40.104698,1350524,508,MZM809,809,1,Violence against civilians,,Unidentified Armed Group (Mozambique),,3,Civilians (Mozambique),,7,37,Eastern Africa,Mozambique,Cabo Delgado,Mocimboa da Praia,Mocimboa Da Praia,Chitolo,1,Club of Mozambique,National,"On March 3, an unknown group of armed men attacked Chitolo, in Mocimboa da Praia, killing one person and burning several houses.",1,1524053816,MOZ,,,Verified event,,,Armed group,,
ACLED,17-Dec-17,2017,12,-11.3458,40.3522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.3458,40.3522,1632106,508,MZM793,793,1,Battle,,ASWJ-Mozambique: Ahlu Sunna Wal Jamaa (Mozambique faction),,3,Police Forces of Mozambique (1990-),,1,13,Eastern Africa,Mozambique,Cabo Delgado,Mocimboa da Praia,Mocimboa Da Praia,Mocimboa da Praia,1,Agencia de Informacao de Mocambique; Voa Portugues,National,"An Islamist militia attacked again on December 17th the locality of Mocimboa da Praia. The head of reconnaissance of the riot police was killed and five other police members were severely injured. The column was ambushed on its way to resupply the police unit at Mitumbate, one of the villages in Mocimboa da Praia that has come under attack. The rebels blocked the road, and when the police left their vehicles to remove the obstacles, the attackers opened fire. This clash comes three days after the General Commander of the police gave the islamist insurgents an ultimatum.",1,1528732355,MOZ,,,Verified event,,,Armed group,,
