id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,iso3,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
,,#date+year,,,,,,,,,,,,#group+name+first,,,#group+name+second,,#meta+source,,,#description,,,#loc+name,,#adm1+name,#adm2+name,#geo+lat,#geo+lon,,,#country+name,#country+code,,#region+name,,,#date+start,#date+end,,,,,#affected+killed,,,,
13930,MZM-1989-1-99-7,1989,1,Clear,1,332,332,Mozambique: Government,722,722,Government of Mozambique - Renamo,100,100,Government of Mozambique,498,498,Renamo,-1,African Defence March 1989,,,,,4,Maputo province,Maputo province,Maputo province,,-25.500000,32.333333,POINT (32.333333 -25.5),93305,Mozambique,MOZ,541,Africa,2,4,1989-01-01 00:00:00.000,1989-01-31 00:00:00.000,0,60,0,0,60,60,60,541,
15321,MZM-1989-1-99-2,1989,1,Clear,1,332,332,Mozambique: Government,722,722,Government of Mozambique - Renamo,100,100,Government of Mozambique,498,498,Renamo,-1,"Reuters 1989-01-14 ""REBELS SAY THEY HIT OIL PIPELINE, KILLED 32 SOLDIERS"" African Defence March 1989",,,,RENAMO,6,Mozambique,Mozambique,,,-18.250000,35.000000,POINT (35 -18.25),103391,Mozambique,MOZ,541,Africa,2,2,1989-01-07 00:00:00.000,1989-01-11 00:00:00.000,0,0,0,0,0,10,0,541,
15514,MZM-1989-1-99-1,1989,1,Clear,1,332,332,Mozambique: Government,722,722,Government of Mozambique - Renamo,100,100,Government of Mozambique,498,498,Renamo,-1,"Reuters 1989-01-14 ""REBELS SAY THEY HIT OIL PIPELINE, KILLED 32 SOLDIERS""; African Defence March 1989",,,,RENAMO,2,Macomia,Macomia town (near),Nampula province,Cabo Delgado district,-15.038056,37.833611,POINT (37.833611 -15.038056),107716,Mozambique,MOZ,541,Africa,2,2,1989-01-07 00:00:00.000,1989-01-11 00:00:00.000,0,0,0,0,0,22,0,541,
15529,MZM-1989-1-99-3.1,1989,1,Clear,1,332,332,Mozambique: Government,722,722,Government of Mozambique - Renamo,100,100,Government of Mozambique,498,498,Renamo,-1,"Reuters 1989-02-02 ""REBELS SAY THEY KILLED 92, SHOT DOWN HELICOPTERS",,,,RENAMO,1,Xinavane town,Xinavane town (army barracks),Maputo province,Manhica district,-25.042222,32.786944,POINT (32.786944 -25.042222),93306,Mozambique,MOZ,541,Africa,2,2,1989-01-21 00:00:00.000,1989-01-24 00:00:00.000,0,0,0,0,0,9,0,541,
15323,MZM-1989-1-99-3.2,1989,1,Clear,1,332,332,Mozambique: Government,722,722,Government of Mozambique - Renamo,100,100,Government of Mozambique,498,498,Renamo,-1,"Reuters 1989-02-02 ""REBELS SAY THEY KILLED 92, SHOT DOWN HELICOPTERS",,,,RENAMO,1,Palmeira,Palmeira (Palmeiras) town (army barracks),Maputo province,Manhica district,-25.255278,32.872778,POINT (32.872778 -25.255278),93306,Mozambique,MOZ,541,Africa,2,2,1989-01-21 00:00:00.000,1989-01-24 00:00:00.000,0,0,0,0,0,9,0,541,
15352,MZM-1989-1-99-3.3,1989,1,Clear,1,332,332,Mozambique: Government,722,722,Government of Mozambique - Renamo,100,100,Government of Mozambique,498,498,Renamo,-1,"Reuters 1989-02-02 ""REBELS SAY THEY KILLED 92, SHOT DOWN HELICOPTERS",,,,RENAMO,2,Maputo city,"Maputo city (near, Ponta de Ouro army barracks near Maputo city)",Maputo province,Maputo district,-25.965278,32.589167,POINT (32.589167 -25.965278),92586,Mozambique,MOZ,541,Africa,2,2,1989-01-21 00:00:00.000,1989-01-24 00:00:00.000,0,0,0,0,0,9,0,541,
15359,MZM-1989-1-99-3.4,1989,1,Clear,1,332,332,Mozambique: Government,722,722,Government of Mozambique - Renamo,100,100,Government of Mozambique,498,498,Renamo,-1,"Reuters 1989-02-02 ""REBELS SAY THEY KILLED 92, SHOT DOWN HELICOPTERS",,,,RENAMO,1,Namaacha town,Namaacha town (army barracks),Maputo province,Namaacha district,-25.970278,32.025556,POINT (32.025556 -25.970278),92585,Mozambique,MOZ,541,Africa,2,2,1989-01-21 00:00:00.000,1989-01-24 00:00:00.000,0,0,0,0,0,10,0,541,
15405,MZM-1989-1-99-4,1989,1,Clear,1,332,332,Mozambique: Government,722,722,Government of Mozambique - Renamo,100,100,Government of Mozambique,498,498,Renamo,-1,"Reuters 1989-02-02 ""REBELS SAY THEY KILLED 92, SHOT DOWN HELICOPTERS",,,,RENAMO,1,Marromeu location,Marromeu location,Sofala province,Marromeu district,-18.290833,35.945278,POINT (35.945278 -18.290833),103392,Mozambique,MOZ,541,Africa,1,1,1989-01-23 00:00:00.000,1989-01-23 00:00:00.000,0,0,0,0,0,12,0,541,
15154,MZM-1989-1-99-5,1989,1,Clear,1,332,332,Mozambique: Government,722,722,Government of Mozambique - Renamo,100,100,Government of Mozambique,498,498,Renamo,-1,"Reuters 1989-02-02 ""REBELS SAY THEY KILLED 92, SHOT DOWN HELICOPTERS",,,,RENAMO,1,Guija town,Guija town,Gaza province,Guijá district,-24.497500,33.013333,POINT (33.013333 -24.4975),94747,Mozambique,MOZ,541,Africa,1,2,1989-01-28 00:00:00.000,1989-01-29 00:00:00.000,0,0,0,0,0,29,0,541,
15411,MZM-1989-1-99-6,1989,1,Clear,1,332,332,Mozambique: Government,722,722,Government of Mozambique - Renamo,100,100,Government of Mozambique,498,498,Renamo,-1,"Reuters 1989-02-02 ""REBELS SAY THEY KILLED 92, SHOT DOWN HELICOPTERS",,,,RENAMO,4,Nampula province,Nampula province,Nampula province,,-15.000000,39.000000,POINT (39 -15),108439,Mozambique,MOZ,541,Africa,1,1,1989-01-30 00:00:00.000,1989-01-30 00:00:00.000,0,0,0,0,0,14,0,541,
13188,MZM-1989-1-99-8,1989,1,Clear,1,332,332,Mozambique: Government,722,722,Government of Mozambique - Renamo,100,100,Government of Mozambique,498,498,Renamo,-1,"Reuters 1989-02-08 ""REBELS DOUBT IF ""ANGOLA-STYLE"" PEACE PLAN SUITABLE",,,,RENAMO,2,Muanza town,Muanza town (near),Sofala province,Muanza district,-18.897222,34.792778,POINT (34.792778 -18.897222),102670,Mozambique,MOZ,541,Africa,1,1,1989-02-07 00:00:00.000,1989-02-07 00:00:00.000,0,0,0,0,0,21,0,541,
15426,MZM-1989-1-99-9,1989,1,Clear,1,332,332,Mozambique: Government,722,722,Government of Mozambique - Renamo,100,100,Government of Mozambique,498,498,Renamo,-1,"Reuters 1989-02-21 ""REBELS SAY THEY KILL 22 IN ATTACK ON BARRACKS",,,,RENAMO,1,Magude town,Magude town,Maputo province,Magude district,-25.023056,32.648056,POINT (32.648056 -25.023056),93306,Mozambique,MOZ,541,Africa,1,1,1989-02-16 00:00:00.000,1989-02-16 00:00:00.000,0,0,0,0,0,22,0,541,
15343,MZM-1989-1-99-10,1989,1,Clear,1,332,332,Mozambique: Government,722,722,Government of Mozambique - Renamo,100,100,Government of Mozambique,498,498,Renamo,-1,"Reuters 1989-02-24 ""REBELS SAY 29 MOZAMBICAN, 14 FOREIGN SOLDIERS KILLED",,,,RENAMO,1,Inharrime location,Inharrime location,Inhambane province,Inharrime district,-24.476944,35.030278,POINT (35.030278 -24.476944),94751,Mozambique,MOZ,541,Africa,1,1,1989-02-21 00:00:00.000,1989-02-21 00:00:00.000,0,0,0,0,0,13,0,541,
15303,MZM-1989-1-99-11,1989,1,Clear,1,332,332,Mozambique: Government,722,722,Government of Mozambique - Renamo,100,100,Government of Mozambique,498,498,Renamo,-1,"Reuters 1989-02-24 ""REBELS SAY 29 MOZAMBICAN, 14 FOREIGN SOLDIERS KILLED",,,,RENAMO,1,Mucuburi town,Mocuburi location,Nampula province,Mecuburi district,-14.655833,38.890833,POINT (38.890833 -14.655833),108438,Mozambique,MOZ,541,Africa,1,1,1989-02-21 00:00:00.000,1989-02-21 00:00:00.000,0,0,0,0,0,30,0,541,
