zip_m,yyyy,year,mm,month,prec_mean,crime_count,name2,zipcode,county,ID,n_crime,n,Assault,BreakingnEntering,Robbery,Theft
20637,2015,2015,01,1,4.6612902,43, MD,20646,Charles,8,467,1,181,56,7,174
20653,2015,2015,01,1,2.6225805,1, MD,20690,Saint Marys,18,31,1,31,14,0,56
20688,2015,2015,01,1,5.2516127,6, MD,20639,Calvert,4,95,1,13,7,0,49
20740,2015,2015,01,1,4.2387099,1, MD,20740,Prince Georges,16,118,1,25,87,16,205
20794,2015,2015,01,1,3.5645161,1, MD,21042,Howard,13,1,1,98,30,21,230
20871,2015,2015,01,1,3.4903226,1, MD,20853,Montgomery,15,1,1,257,81,24,415
21040,2015,2015,01,1,3.832258,1, MD,21047,Harford,12,30,1,30,9,7,42
21502,2015,2015,01,1,2.5032258,46, MD,21502,Allegany,1,46,1,52,27,6,78
21638,2015,2015,01,1,5.6774192,4, MD,21638,Queen Annes,17,4,1,4,2,1,7
21639,2015,2015,01,1,6.2258067,2, MD,21636,Caroline,5,11,1,9,1,3,28
21643,2015,2015,01,1,3.7354839,1, MD,21631,Dorchester,9,23,1,9,3,0,12
21801,2015,2015,01,1,5.6161289,201, MD,21801,Wicomico,22,201,1,33,15,6,119
21811,2015,2015,01,1,4.1451612,24, MD,21811,Worcester,23,24,1,4,6,0,13
21853,2015,2015,01,1,5.6677418,15, MD,21853,Somerset,19,15,1,8,4,0,14
20637,2015,2015,02,2,3.125,10, MD,20617,Charles,8,554,1,185,59,3,137
20653,2015,2015,02,2,2.2750001,14, MD,20653,Saint Marys,18,30,1,30,11,1,51
20688,2015,2015,02,2,3.925,13, MD,20657,Calvert,4,127,1,7,12,1,39
20740,2015,2015,02,2,3.0464284,106, MD,20771,Prince Georges,16,111,1,25,44,2,167
20794,2015,2015,02,2,2.4928572,2, MD,20759,Howard,13,106,1,106,24,9,208
20871,2015,2015,02,2,2.3928571,1, MD,20903,Montgomery,15,2,1,243,64,24,345
21040,2015,2015,02,2,2.3535714,1, MD,21015,Harford,12,37,1,37,8,1,47
21502,2015,2015,02,2,1.625,34, MD,21502,Allegany,1,34,1,58,20,3,58
21638,2015,2015,02,2,3.8964286,1, MD,21638,Queen Annes,17,5,1,5,2,0,3
21639,2015,2015,02,2,3.6428571,6, MD,21655,Caroline,5,8,1,14,0,1,19
21643,2015,2015,02,2,2.7785714,1, MD,21613,Dorchester,9,13,1,4,3,0,13
21801,2015,2015,02,2,3.3928571,188, MD,21801,Wicomico,22,188,1,31,12,5,84
21811,2015,2015,02,2,2.3107142,29, MD,21811,Worcester,23,29,1,6,0,0,15
21853,2015,2015,02,2,3.6678572,20, MD,21853,Somerset,19,20,1,13,1,0,5
20637,2015,2015,03,3,4.803226,42, MD,20646,Charles,8,428,1,237,39,10,135
20653,2015,2015,03,3,1.8903226,1, MD,20653,Saint Marys,18,1,1,47,13,2,54
20688,2015,2015,03,3,4.6999998,4, MD,20736,Calvert,4,83,1,22,4,1,60
20740,2015,2015,03,3,4.5225806,111, MD,20771,Prince Georges,16,111,1,31,56,8,226
20794,2015,2015,03,3,3.2612903,17, MD,20723,Howard,13,123,1,123,38,13,311
20871,2015,2015,03,3,3.7870967,1, MD,20903,Montgomery,15,2,1,291,83,26,396
21040,2015,2015,03,3,3.6967742,1, MD,21001,Harford,12,30,1,30,16,5,43
21502,2015,2015,03,3,2.880645,40, MD,21502,Allegany,1,40,1,65,18,1,85
21638,2015,2015,03,3,4.8903227,1, MD,21638,Queen Annes,17,4,1,4,7,0,14
21639,2015,2015,03,3,4.7838707,1, MD,21636,Caroline,5,7,1,11,0,0,13
21643,2015,2015,03,3,2.7064517,2, MD,21613,Dorchester,9,22,1,8,3,0,9
21801,2015,2015,03,3,3.2258065,162, MD,21801,Wicomico,22,162,1,46,31,9,125
21811,2015,2015,03,3,2.3129032,18, MD,21811,Worcester,23,18,1,6,2,0,20
21853,2015,2015,03,3,3.9258063,17, MD,21853,Somerset,19,17,1,10,1,0,2
20637,2015,2015,04,4,3.7266667,40, MD,20646,Charles,8,488,1,201,53,3,185
20653,2015,2015,04,4,1.6933333,11, MD,20619,Saint Marys,18,48,1,48,21,1,39
