date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,2,-6,0.0,8.7,2,71,03:29 PM,04:58 AM,08:31 AM,05:57 PM,-15,-7,-2,-7,24,16,38,0.0,1021,2,10,233,14,21742
2015-01-02,4,-3,0.0,8.7,2,78,04:15 PM,05:57 AM,08:32 AM,05:58 PM,-7,-4,-0,-4,15,8,62,0.0,1026,4,10,241,9,21742
2015-01-03,2,-2,0.0,3.5,1,85,05:05 PM,06:52 AM,08:32 AM,05:59 PM,-3,-3,0,-3,17,72,82,3.6,1028,2,10,126,10,21742
2015-01-04,12,3,0.0,8.2,2,92,05:58 PM,07:43 AM,08:32 AM,06:00 PM,5,3,7,3,29,70,93,7.2,1012,12,8,216,15,21742
2015-01-05,-2,-6,0.0,9.7,1,99,06:53 PM,08:27 AM,08:32 AM,06:01 PM,-11,-10,-3,-10,35,33,54,0.0,1026,-2,9,298,24,21742
2015-01-06,-4,-8,4.7,6.5,1,95,07:49 PM,09:08 AM,08:32 AM,06:02 PM,-11,-11,-6,-11,12,71,71,5.5,1024,-4,6,256,8,21742
2015-01-07,-8,-14,0.1,6.5,1,88,08:45 PM,09:44 AM,08:32 AM,06:03 PM,-15,-19,-10,-19,33,47,67,0.3,1023,-8,7,286,23,21742
2015-01-08,-10,-16,0.0,9.7,2,81,09:41 PM,10:17 AM,08:32 AM,06:03 PM,-17,-21,-13,-21,23,29,69,0.0,1031,-10,10,237,15,21742
2015-01-09,-3,-10,0.2,8.2,1,74,10:36 PM,10:48 AM,08:31 AM,06:04 PM,-12,-14,-7,-14,27,64,66,0.5,1021,-3,8,237,17,21742
2015-01-10,-9,-16,0.0,9.7,2,68,11:32 PM,11:18 AM,08:31 AM,06:05 PM,-17,-19,-12,-19,17,9,69,0.0,1035,-9,10,256,10,21742
2015-01-11,-2,-11,0.0,9.8,2,61,No moonrise,11:47 AM,08:31 AM,06:06 PM,-11,-10,-6,-10,14,41,70,0.3,1035,-2,9,170,7,21742
2015-01-12,3,-1,0.1,4.9,1,54,12:27 AM,12:16 PM,08:31 AM,06:07 PM,-1,-3,1,-3,19,84,92,10.1,1026,3,7,228,12,21742
2015-01-13,-5,-9,0.0,9.8,2,47,01:25 AM,12:48 PM,08:30 AM,06:08 PM,-9,-12,-6,-12,23,29,78,0.1,1034,-5,10,117,15,21742
