Country,State,Departamen,City,result_num,osm_id,display_na,category,type,latlong
Argentina,Corrientes,Bella Vista,Bella Vista,"0","3125258","Municipio de Bella Vista, Departamento Bella Vista, Corrientes, 3432, Argentina",boundary,administrative,"-28.5073653,-59.0452284"
Argentina,Corrientes,Departamento Beron de Estrada,San Antonio de Itati,"0","3126749","Municipio de San Antonio de Itatí, Departartamento Berón de Astrada, Corrientes, Argentina",boundary,administrative,"-27.5502367,-57.5283607"
Argentina,Corrientes,Capital,Corrientes,"0","3127758","Corrientes, Departamento Capital, Corrientes, Argentina",boundary,administrative,"-27.4687004,-58.8311982"
Argentina,Corrientes,Concepcion,Concepcion,"0","3130063","Municipio de Concepción, Departamento Concepción, Corrientes, 3423, Argentina",boundary,administrative,"-28.3930294,-57.8868493"
Argentina,Corrientes,Curuzu Cuatia,Curuzu Cuatia,"0","3134569","Municipio de Curuzú Cuatiá, Departamento Curuzú Cuatiá, Corrientes, Argentina",boundary,administrative,"-29.7913375,-58.0498307"
Argentina,Corrientes,Empedrado,Empedrado,"0","3134599","Municipio de Empedrado, Departamento Empedrado, Corrientes, Argentina",boundary,administrative,"-27.9542622,-58.8089124"
Argentina,Corrientes,Esquina,Esquina,"0","3135965","Municipio de Esquina, Departamento Esquina, Corrientes, Argentina",boundary,administrative,"-30.0170807,-59.5340904"
Argentina,Corrientes,Departamento General Alvear,Alvear,"0","3138396","Municipio de Alvear, Departamento General Alvear, Corrientes, 3344, Argentina",boundary,administrative,"-29.0989143,-56.5534621"
Argentina,Corrientes,Departamento General Paz,Caa Cati,"0","2922789026","Banco Nación, Domingo Faustino Sarmiento, Sol Naciente, Municipio de Nuestra Señora del Rosario de Caá Catí, Departamento General Paz, Corrientes, 3407, Argentina",amenity,bank,"-27.7523655,-57.6230887"
Argentina,Corrientes,Goya,Goya,"0","3144223","Municipio de Goya, Departamento Goya, Corrientes, Argentina",boundary,administrative,"-29.1444046,-59.2649825"
Argentina,Corrientes,Itati,Itati,"0","3147849","Municipio de Itatí, Departamento Itatí, Corrientes, 3414, Argentina",boundary,administrative,"-27.2690228,-58.242766"
Argentina,Corrientes,Ituzaingo,Ituzaingo,"0","3149442","Municipio de Ituzaingó, Departamento Ituzaingó, Corrientes, Argentina",boundary,administrative,"-27.5896182,-56.6893413"
Argentina,Corrientes,Lavalle,Santa Lucia,"0","3153110","Municipio de Santa Lucía, Departamento Lavalle, Corrientes, Argentina",boundary,administrative,"-28.9897454,-59.1006988"
Argentina,Corrientes,Mburucuya,Mburucuya,"0","3154031","Municipio de Mburucuyá, Departamento Mburucuyá, Corrientes, 3427, Argentina",boundary,administrative,"-28.0465164,-58.2303422"
Argentina,Corrientes,Mercedes,Mercedes,"0","3155277","Municipio de Mercedes, Departamento Mercedes, Corrientes, Argentina",boundary,administrative,"-29.1835645,-58.0799951"
Argentina,Corrientes,Monte Caseros,Monte Caseros,"0","3156447","Municipio de Monte Caseros, Departamento Monte Caseros, Corrientes, 3220, Argentina",boundary,administrative,"-30.2496832,-57.6294418"
Argentina,Corrientes,Paso de los Libres,Paso de los Libres,"0","3157189","Municipio de Paso de los Libres, Departamento Paso de los Libres, Corrientes, Argentina",boundary,administrative,"-29.7136574,-57.0861369"
Argentina,Corrientes,Saladas,Saladas,"0","3158744","Saladas, Departamento Saladas, Corrientes, Argentina",boundary,administrative,"-28.2547059,-58.6233333"
Argentina,Corrientes,San Cosme,San Cosme,"0","3161606","Municipio de San Cosme, Departamento San Cosme, Corrientes, Argentina",boundary,administrative,"-27.3703186,-58.5125679"
Argentina,Corrientes,San Luis del Pasmar,San Luis del Palmar,"0","3161644","Municipio de San Luis del Palmar, Departamento San Luis del Palmar, Corrientes, Argentina",boundary,administrative,"-27.5077031,-58.5561657"
Argentina,Corrientes,Departamento San Martin,La Cruz,"0","3885415659","Ruinas Jesuíticas de la Asunción de la Cruz de Mbororé, San Martín, Municipio de La Cruz, Departamento San Martín, Corrientes, 3346, Argentina",tourism,attraction,"-29.1784567,-56.6382532"
Argentina,Corrientes,Departamento San Miguel,San Miguel,"0","3127990","Departamento San Miguel, Corrientes, Argentina",boundary,administrative,"-27.94569885,-57.56100639005949"
Argentina,Corrientes,San Roque,San Roque,"0","9389182","San Roque, Municipio de San Roque, Departamento San Roque, Corrientes, 3448, Argentina",boundary,administrative,"-28.5709194,-58.7119707"
Argentina,Corrientes,Santo Tome,Santo Tome,"0","2294420","Santo Tomé, Municipio de Santo Tomé, Departamento Santo Tomé, Corrientes, 3340, Argentina",boundary,administrative,"-28.55676325,-56.05398052939918"
Argentina,Corrientes,Sauce,Sauce,"0","14102444","Sauce, Municipio de Sauce, Departamento Sauce, Corrientes, Argentina",boundary,administrative,"-30.0832901,-58.7884026"
